,table,header,variable,type,entry,Required,Variable_Name,Units/Info,Description,Vocab,Variable_class,Min,Max
,,lyr_py_notes,fe_al_py,notes,,,,,,,,,
,,lyr_py_notes,si_py,notes,,,,,,,,,
,,lyr_py_notes,c_py,notes,,,,,,,,,
152,layer,lyr_fe_ox,fe_ox,value,,No,Oxalate Extractable Fe,mg/g,"Mass of element (Fe, Al, Si, or C) extracted from soil with ammonium oxalate  per gram of soil extracted.",NA,numeric,0,1000
153,layer,lyr_al_ox,al_ox,value,,No,Oxalate Extractable Al,mg/g,"Mass of element (Fe, Al, Si, or C) extracted from soil with ammonium oxalate  per gram of soil extracted.",NA,numeric,0,1000
154,layer,lyr_si_ox,si_ox,value,,No,Oxalate Extractable Si,mg/g,"Mass of element (Fe, Al, Si, or C) extracted from soil with ammonium oxalate  per gram of soil extracted.",NA,numeric,0,1000
155,layer,lyr_c_ox,c_ox,value,,No,Oxalate Extractable Carbon,mg/g,"Mass of element (Fe, Al, Si, or C) extracted from soil with ammonium oxalate  per gram of soil extracted.",NA,numeric,0,1000
156,layer,lyr_noncrystalline_ox,noncrystaline_ox,value,,No,Total Non-Crystalline Mineral Content,mg/g,Total non-crystalline mineral content of soil extracted with ammonium oxalate per gram of soil extracted.,NA,numeric,0,1000
157,layer,lyr_ox_notes,fe_ox,notes,,No,"Oxalate Notes: Concentration, Extraction Time, Sequential or Parallel",alphanumeric,"Notes on ammonium oxalate  extraction including concentration of extractant, solid  to solution ration, and sequential or parallel extraction design (if other extractions were also performed).",NA,character,NA,NA
,,lyr_ox_notes,al_ox,notes,,,,,,,,,
,,lyr_ox_notes,si_ox,notes,,,,,,,,,
,,lyr_ox_notes,c_ox,notes,,,,,,,,,
,,lyr_ox_notes,noncrystaline_ox,notes,,,,,,,,,
158,layer,lyr_fe_hy,fe_hy,value,,No,Hydroxylamine Extractable Fe,mg/g,"Mass of element (Fe, Al, Si, or C) extracted from soil with hydroxylamine  reported per gram of soil extracted.",NA,numeric,0,1000
159,layer,lyr_al_hy,al_hy,value,,No,Hydroxylamine Extractable Al,mg/g,"Mass of element (Fe, Al, Si, or C) extracted from soil with hydroxylamine  reported per gram of soil extracted.",NA,numeric,0,1000
160,layer,lyr_si_hy,si_hy,value,,No,Hydroxylamine Extractable Si,mg/g,"Mass of element (Fe, Al, Si, or C) extracted from soil with hydroxylamine  reported per gram of soil extracted.",NA,numeric,0,1000
161,layer,lyr_c_hy,c_hy,value,,No,Hydroxylamine Extractable C,mg/g,"Mass of element (Fe, Al, Si, or C) extracted from soil with hydroxylamine  reported per gram of soil extracted.",NA,numeric,0,1000
162,layer,lyr_hy_notes,fe_hy,notes,,No,"Hydroxylamine Notes: Concentration, Extraction Time, Sequential or Parallel",alphanumeric,"Notes on hydroxylamine  extraction including concentration of extractant, solid  to solution ration, and sequential or parallel extraction design (if other extractions were also performed).",NA,character,0,1000
,,,al_hy,notes,,,,,,,,,
,,,si_hy,notes,,,,,,,,,
,,,c_hy,notes,,,,,,,,,
163,layer,lyr_fe_dith,fe_dith,value,,No,Dithionite Extractable Fe,mg/g,"Mass of element (Fe, Al, Si, or C) extracted from soil with hydroxylamine  reported per gram of soil extracted.",NA,numeric,0,1000
164,layer,lyr_al_dith,al_dith,value,,No,Dithionite Extractable Al,mg/g,"Mass of element (Fe, Al, Si, or C) extracted from soil with hydroxylamine  reported per gram of soil extracted.",NA,numeric,0,1000
165,layer,lyr_si_dith,si_dith,value,,No,Dithionite Extractable Si,mg/g,"Mass of element (Fe, Al, Si, or C) extracted from soil with hydroxylamine  reported per gram of soil extracted.",NA,numeric,0,1000
166,layer,lyr_dith_notes,fe_dith,notes,,No,"Dithionite Notes: Concentration, Extraction Time, Sequential or Parallel",alphanumeric,"Notes on dithionite extraction including concentration of extractant, solid  to solution ration, and sequential or parallel extraction design (if other extractions were also performed).",NA,character,0,1000
,,lyr_dith_notes,al_dith,notes,,,,,,,,,
,,lyr_dith_notes,si_dith,notes,,,,,,,,,
167,layer,lyr_quartz,quartz,value,,No,Quartz Abundance,"% or 101/102/102 for ""+/++/+++""","Quantitative or qualitative  mineral abundance. When quantitative measurements are reported, use %. Otherwise, qualitative measurements use the 101/102/103 as equivalent to ""+/++/+++"" notation",NA,numeric,0,103
168,layer,lyr_alkali_feldspar,alkali_feldspar,value,,No,Alkali Feldspar Abundance,"% or 101/102/102 for ""+/++/+++""","Quantitative or qualitative  mineral abundance. When quantitative measurements are reported, use %. Otherwise, qualitative measurements use the 101/102/103 as equivalent to ""+/++/+++"" notation",NA,numeric,0,103
169,layer,lyr_plag_feldspar,plag_feldspar,value,,No,Plagioclase Feldspar Abundance,"% or 101/102/102 for ""+/++/+++""","Quantitative or qualitative  mineral abundance. When quantitative measurements are reported, use %. Otherwise, qualitative measurements use the 101/102/103 as equivalent to ""+/++/+++"" notation",NA,numeric,0,103
170,layer,lyr_mica_chlorite,mica_chlorite,value,,No,Mica + Chlorite Abundance,"% or 101/102/102 for ""+/++/+++""","Quantitative or qualitative  mineral abundance. When quantitative measurements are reported, use %. Otherwise, qualitative measurements use the 101/102/103 as equivalent to ""+/++/+++"" notation",NA,numeric,0,103
171,layer,lyr_amphibole,amphibole,value,,No,Amphibole (Hornblende),"% or 101/102/102 for ""+/++/+++""","Quantitative or qualitative  mineral abundance. When quantitative measurements are reported, use %. Otherwise, qualitative measurements use the 101/102/103 as equivalent to ""+/++/+++"" notation",NA,numeric,0,103
172,layer,lyr_pyroxine,pyroxine,value,,No,Enstatite + Augite + Diopside,"% or 101/102/102 for ""+/++/+++""","Quantitative or qualitative  mineral abundance. When quantitative measurements are reported, use %. Otherwise, qualitative measurements use the 101/102/103 as equivalent to ""+/++/+++"" notation",NA,numeric,0,103
173,layer,lyr_olivine,olivine,value,,No,Olivine Abundance,"% or 101/102/102 for ""+/++/+++""","Quantitative or qualitative  mineral abundance. When quantitative measurements are reported, use %. Otherwise, qualitative measurements use the 101/102/103 as equivalent to ""+/++/+++"" notation",NA,numeric,0,103
174,layer,lyr_volc_glass,volc_glass,value,,No,Volcanic Glass Abundance,"% or 101/102/102 for ""+/++/+++""","Quantitative or qualitative  mineral abundance. When quantitative measurements are reported, use %. Otherwise, qualitative measurements use the 101/102/103 as equivalent to ""+/++/+++"" notation",NA,numeric,0,103
175,layer,lyr_kaol_halloy,kaol_halloy,value,,No,Kaolinite + Halloysite,"% or 101/102/102 for ""+/++/+++""","Quantitative or qualitative  mineral abundance. When quantitative measurements are reported, use %. Otherwise, qualitative measurements use the 101/102/103 as equivalent to ""+/++/+++"" notation",NA,numeric,0,103
176,layer,lyr_smect_vermic,smect_vermic,value,,No,Smectite (Montmorillonite) + Vermincullite,"% or 101/102/102 for ""+/++/+++""","Quantitative or qualitative  mineral abundance. When quantitative measurements are reported, use %. Otherwise, qualitative measurements use the 101/102/103 as equivalent to ""+/++/+++"" notation",NA,numeric,0,103
177,layer,lyr_gibbsite,gibbsite,value,,No,Gibbsite Abundance,"% or 101/102/102 for ""+/++/+++""","Quantitative or qualitative  mineral abundance. When quantitative measurements are reported, use %. Otherwise, qualitative measurements use the 101/102/103 as equivalent to ""+/++/+++"" notation",NA,numeric,0,103
178,layer,lyr_fe_oxides,fe_oxides,value,,No,Goethite + Hematite + Magnetite + Lepidocrocite,"% or 101/102/102 for ""+/++/+++""","Quantitative or qualitative  mineral abundance. When quantitative measurements are reported, use %. Otherwise, qualitative measurements use the 101/102/103 as equivalent to ""+/++/+++"" notation",NA,numeric,0,103
179,layer,lyr_imog_alloph,limog_alloph,value,,No,Imogolite + Allophane,"% or 101/102/102 for ""+/++/+++""","Quantitative or qualitative  mineral abundance. When quantitative measurements are reported, use %. Otherwise, qualitative measurements use the 101/102/103 as equivalent to ""+/++/+++"" notation",NA,numeric,0,103
180,layer,lyr_ferrihydrite,ferrihydrite,value,,No,Ferrihydrite Abundance,"% or 101/102/102 for ""+/++/+++""","Quantitative or qualitative  mineral abundance. When quantitative measurements are reported, use %. Otherwise, qualitative measurements use the 101/102/103 as equivalent to ""+/++/+++"" notation",NA,numeric,0,103
181,layer,lyr_calcite_dolomite,calcite_dolomite,value,,No,Calcite + Dolomite Abundance,"% or 101/102/102 for ""+/++/+++""","Quantitative or qualitative  mineral abundance. When quantitative measurements are reported, use %. Otherwise, qualitative measurements use the 101/102/103 as equivalent to ""+/++/+++"" notation",NA,numeric,0,103
182,layer,lyr_zeolite,zeolite,value,,No,zeolite Abundance,"% or 101/102/102 for ""+/++/+++""","Quantitative or qualitative  mineral abundance. When quantitative measurements are reported, use %. Otherwise, qualitative measurements use the 101/102/103 as equivalent to ""+/++/+++"" notation",NA,numeric,0,103
183,layer,lyr_bd_samp_fill_extra,bulk_density_sample_fill,value,,No,"Expert Estimated Bulk Density, Coarse Fragments Removed",g cm-3,"Grams of oven-dried soil per cubic centimeter, with soil particles greater than 2 mm and roots greater than 1 cm diameter removed.",NA,numeric,1E-03,2.6
,,,bulk_density_sample_fill,method,"Expert Estimated Bulk Density, Coarse Fragments Removed",,,,,,,,
184,layer,lyr_c_org_fill_extra,,,,No,Expert Estimated Organic Carbon,%,"Percent by weight of organic carbon (i.e., after inorganic carbon has been removed)  in a dried soil sample.",NA,numeric,0,100
185,layer,lyr_soc_fill_extra,,,,No,Expert Estimated Bulk Layer Reported Soil Organic Carbon Stock,g cm-2,"The data contributor's calculated soil organic carbon stock value for the site, cluster, profile or layer.",NA,numeric,0,NA
186,layer,lyr_14c_fill_extra,,,,No,Expert Estimated Bulk Layer Δ14C,‰,see flux tab for description,NA,numeric,-1000,1000
187,layer,lyr_fill_notes_extra,,,,No,Expert Estimation notes,NA,Please describe the rationale behind expert estimated values,NA,character,NA,NA
